Team,Tm,Date,Name1,PTS1,Name2,PTS2,Name3,PTS3
Milwaukee Bucks,108,"Sun, Feb 4, 2024",Giannis Antetokounmpo,33,Damian Lillard,12,Brooke Lopez,Inac
Milwaukee Bucks,106,"Tue, Feb 6, 2024",Giannis Antetokounmpo,34,Damian Lillard,Inac,Brooke Lopez,Inac
Milwaukee Bucks,105,"Thu, Feb 8, 2024",Giannis Antetokounmpo,17,Damian Lillard,Did,Brooke Lopez,12
Milwaukee Bucks,120,"Fri, Feb 9, 2024",Giannis Antetokounmpo,15,Damian Lillard,26,Brooke Lopez,11
Milwaukee Bucks,112,"Mon, Feb 12, 2024",Giannis Antetokounmpo,36,Damian Lillard,18,Brooke Lopez,9
Milwaukee Bucks,97,"Tue, Feb 13, 2024",Giannis Antetokounmpo,23,Damian Lillard,16,Brooke Lopez,7
Milwaukee Bucks,110,"Thu, Feb 15, 2024",Giannis Antetokounmpo,35,Damian Lillard,24,Brooke Lopez,14
Milwaukee Bucks,112,"Fri, Feb 23, 2024",Giannis Antetokounmpo,33,Damian Lillard,21,Brooke Lopez,16
Milwaukee Bucks,119,"Sun, Feb 25, 2024",Giannis Antetokounmpo,30,Damian Lillard,24,Brooke Lopez,11
Milwaukee Bucks,123,"Tue, Feb 27, 2024",Giannis Antetokounmpo,24,Damian Lillard,23,Brooke Lopez,0
Milwaukee Bucks,111,"Thu, Feb 29, 2024",Giannis Antetokounmpo,24,Damian Lillard,17,Brooke Lopez,11
Milwaukee Bucks,113,"Fri, Mar 1, 2024",Giannis Antetokounmpo,46,Damian Lillard,16,Brooke Lopez,12
Milwaukee Bucks,113,"Mon, Mar 4, 2024",Giannis Antetokounmpo,Inac,Damian Lillard,41,Brooke Lopez,6
Milwaukee Bucks,90,"Wed, Mar 6, 2024",Giannis Antetokounmpo,23,Damian Lillard,20,Brooke Lopez,9
Milwaukee Bucks,122,"Fri, Mar 8, 2024",Giannis Antetokounmpo,34,Damian Lillard,28,Brooke Lopez,11
Milwaukee Bucks,124,"Sun, Mar 10, 2024",Giannis Antetokounmpo,34,Damian Lillard,35,Brooke Lopez,7
Milwaukee Bucks,94,"Tue, Mar 12, 2024",Giannis Antetokounmpo,30,Damian Lillard,10,Brooke Lopez,7
Milwaukee Bucks,114,"Thu, Mar 14, 2024",Giannis Antetokounmpo,32,Damian Lillard,17,Brooke Lopez,19
Milwaukee Bucks,140,"Sun, Mar 17, 2024",Giannis Antetokounmpo,Inac,Damian Lillard,31,Brooke Lopez,10
Milwaukee Bucks,119,"Wed, Mar 20, 2024",Giannis Antetokounmpo,Inac,Damian Lillard,32,Brooke Lopez,8
Milwaukee Bucks,115,"Thu, Mar 21, 2024",Giannis Antetokounmpo,21,Damian Lillard,30,Brooke Lopez,17
Milwaukee Bucks,118,"Sun, Mar 24, 2024",Giannis Antetokounmpo,30,Damian Lillard,11,Brooke Lopez,14
Milwaukee Bucks,124,"Tue, Mar 26, 2024",Giannis Antetokounmpo,29,Damian Lillard,27,Brooke Lopez,9
Milwaukee Bucks,100,"Thu, Mar 28, 2024",Giannis Antetokounmpo,35,Damian Lillard,20,Brooke Lopez,7
Milwaukee Bucks,122,"Sat, Mar 30, 2024",Giannis Antetokounmpo,36,Damian Lillard,Inac,Brooke Lopez,13
Milwaukee Bucks,113,"Tue, Apr 2, 2024",Giannis Antetokounmpo,35,Damian Lillard,Inac,Brooke Lopez,6
Milwaukee Bucks,101,"Wed, Apr 3, 2024",Giannis Antetokounmpo,21,Damian Lillard,Inac,Brooke Lopez,25
Milwaukee Bucks,111,"Fri, Apr 5, 2024",Giannis Antetokounmpo,Inac,Damian Lillard,36,Brooke Lopez,15
Milwaukee Bucks,109,"Sun, Apr 7, 2024",Giannis Antetokounmpo,28,Damian Lillard,23,Brooke Lopez,13
Milwaukee Bucks,104,"Tue, Apr 9, 2024",Giannis Antetokounmpo,15,Damian Lillard,12,Brooke Lopez,15
Milwaukee Bucks,117,"Wed, Apr 10, 2024",Giannis Antetokounmpo,Inac,Damian Lillard,29,Brooke Lopez,10
Milwaukee Bucks,107,"Fri, Apr 12, 2024",Giannis Antetokounmpo,Inac,Damian Lillard,Inac,Brooke Lopez,18
Milwaukee Bucks,88,"Sun, Apr 14, 2024",Giannis Antetokounmpo,Inac,Damian Lillard,16,Brooke Lopez,11
